condFile,condFileIm,cueFile,cueFileIm,recogFile,recogFileIm,cues,stimulus,CORRanswer,trialtype,valArous,block,StimulusType,corrAnsw,words,images,trialType,ValArous,Panas_routine.thisRepN,Panas_routine.thisTrialN,Panas_routine.thisN,Panas_routine.thisIndex,skip_routine.thisRepN,skip_routine.thisTrialN,skip_routine.thisN,skip_routine.thisIndex,Group.thisRepN,Group.thisTrialN,Group.thisN,Group.thisIndex,loop_cues.thisRepN,loop_cues.thisTrialN,loop_cues.thisN,loop_cues.thisIndex,loop_cues2.thisRepN,loop_cues2.thisTrialN,loop_cues2.thisN,loop_cues2.thisIndex,instruction_wordfirst.thisRepN,instruction_wordfirst.thisTrialN,instruction_wordfirst.thisN,instruction_wordfirst.thisIndex,instruction_image_first.thisRepN,instruction_image_first.thisTrialN,instruction_image_first.thisN,instruction_image_first.thisIndex,PM_task_loop.thisRepN,PM_task_loop.thisTrialN,PM_task_loop.thisN,PM_task_loop.thisIndex,recog_task_loop.thisRepN,recog_task_loop.thisTrialN,recog_task_loop.thisN,recog_task_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,finalLoop.thisRepN,finalLoop.thisTrialN,finalLoop.thisN,finalLoop.thisIndex,SAMratings.thisRepN,SAMratings.thisTrialN,SAMratings.thisN,SAMratings.thisIndex,key_resp_PM.keys,key_resp_PM.corr,key_resp_PM.rt,key_resp_PM.lenient,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,slider_valence.response,slider_valence.rt,slider_arousal.response,slider_arousal.rt,key_resp_23.keys,key_resp_23.corr,key_resp_23.rt,participant,Group,session,date,expName,psychopyVersion,frameRate,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,bunny,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,afraid,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,bless,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,nature,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,carefree,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,nature,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,easygoing,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,pillow,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,easygoing,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,gentle,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,square,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,gentle,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,birthday,h,5,PosH1,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,None,0,[],0,,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,carefree,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,tool,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,bored,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,tool,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,home,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,immature,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,home,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,fault,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,pillow,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,violin,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,statue,h,3,NeuL1,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,None,0,[],0,,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,violin,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,tense,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,confident,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,bomb,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,confident,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,butterfly,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,cheer,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,street,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,cheer,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,coward,h,4,NegL1,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,None,0,[],0,,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,taxi,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,adventure,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,crutch,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,adventure,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,vest,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,taxi,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,brave,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,square,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,brave,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,unhappy,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,startled,h,6,NeuH1,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,None,0,[],0,,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,deformed,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,rifle,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,deformed,d,1,Hit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,tense,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
PM_words_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,inferior,l,0,NoHit,1,Words,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,None,0,[],[],,,,,,,,,,,,A,2,2019_Jul_01_2022,PM,3.0.6,59.95113035579848,
